timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_v,left_shoulder_vr,right_shoulder_x,right_shoulder_y,right_shoulder_v,right_shoulder_vr,left_knee_x,left_knee_y,left_knee_v,left_knee_vr,right_knee_x,right_knee_y,right_knee_v,right_knee_vr,checkFall
2025-05-07 22:31:44.807,0.57,0.42,1.0,1.0,0.49,0.41,1.0,1.0,0.56,0.85,0.79,1.0,0.48,0.86,0.75,1.0,0
2025-05-07 22:31:44.928,0.57,0.42,1.0,1.0,0.49,0.41,1.0,1.0,0.56,0.85,0.8,1.0,0.47,0.86,0.77,1.0,0
2025-05-07 22:31:45.021,0.57,0.43,1.0,1.0,0.49,0.41,1.0,1.0,0.56,0.87,0.8,1.0,0.47,0.86,0.77,1.0,0
2025-05-07 22:31:45.932,0.55,0.41,1.0,1.0,0.69,0.29,1.0,1.0,0.47,0.64,0.77,1.0,0.57,0.47,0.71,1.0,0
2025-05-07 22:31:46.030,0.53,0.42,1.0,1.0,0.68,0.29,1.0,1.0,0.58,0.99,0.7,1.0,0.65,0.96,0.65,0.0,0
2025-05-07 22:31:46.897,0.53,0.45,1.0,1.0,0.68,0.42,1.0,1.0,0.56,1.08,0.64,0.0,0.6,1.07,0.6,0.0,-1
2025-05-07 22:31:47.160,0.53,0.43,1.0,1.0,0.65,0.4,1.0,1.0,0.49,0.87,0.62,0.0,0.55,0.85,0.56,0.0,-1
2025-05-07 22:31:47.299,0.53,0.44,1.0,1.0,0.66,0.4,1.0,1.0,0.52,0.9,0.57,0.0,0.58,0.89,0.51,0.0,-1
2025-05-07 22:31:47.423,0.53,0.44,1.0,1.0,0.64,0.4,1.0,1.0,0.51,0.7,0.57,0.0,0.57,0.67,0.47,0.0,-1
2025-05-07 22:31:47.525,0.53,0.44,1.0,1.0,0.63,0.39,1.0,1.0,0.51,0.74,0.54,0.0,0.57,0.71,0.43,0.0,-1
2025-05-07 22:31:47.630,0.53,0.44,1.0,1.0,0.63,0.39,1.0,1.0,0.52,0.86,0.51,0.0,0.57,0.89,0.39,0.0,-1
2025-05-07 22:31:47.745,0.54,0.44,1.0,1.0,0.63,0.39,1.0,1.0,0.53,0.88,0.47,0.0,0.57,0.91,0.35,0.0,-1
2025-05-07 22:31:48.010,0.58,0.34,1.0,1.0,0.61,0.35,1.0,1.0,0.53,0.85,0.44,0.0,0.58,0.85,0.34,0.0,-1
2025-05-07 22:31:48.112,0.59,0.31,1.0,1.0,0.51,0.33,1.0,1.0,0.56,0.76,0.43,0.0,0.51,0.75,0.34,0.0,-1
